time,x1,y1,x2,y2
8.883,343.234,357.488,355.296,400.915
8.900,343.953,357.040,355.099,401.785
8.917,345.303,356.394,354.654,402.646
8.933,345.751,356.295,353.505,404.331
8.950,346.608,356.274,352.514,405.622
8.967,346.863,356.133,351.018,405.879
8.983,346.748,356.213,350.330,405.327
9.000,348.467,355.305,349.476,404.524
9.017,348.642,355.329,348.169,403.650
9.033,349.570,354.852,348.133,403.087
9.050,349.383,354.953,346.932,402.320
9.067,350.427,354.412,347.036,402.025
9.083,349.572,355.168,346.135,401.106
9.100,350.364,354.668,346.709,400.981
9.117,351.231,354.429,346.134,400.343
9.133,352.340,353.862,344.929,399.394
9.150,352.526,352.968,344.629,398.971
9.167,352.429,351.922,343.968,398.257
9.183,351.286,351.435,343.704,397.832
9.200,350.253,351.071,342.946,397.417
9.217,349.272,351.085,343.059,396.975
9.233,347.496,348.182,342.810,396.927
9.250,346.128,347.303,341.853,396.121
9.267,344.650,345.969,341.611,395.929
9.283,343.047,344.477,341.388,395.789
9.300,341.375,343.383,341.627,395.892
9.317,340.303,343.259,341.220,395.635
9.333,339.381,342.600,340.425,395.208
9.350,338.409,342.216,339.946,394.878
9.367,337.402,342.054,340.055,394.906
9.383,336.551,341.810,339.123,394.410
9.400,335.187,341.343,338.491,394.210
9.417,334.117,340.925,338.962,394.692
9.433,333.188,340.389,338.530,394.593
9.450,332.263,340.271,338.223,394.549
9.467,331.670,340.087,337.482,394.044
9.483,330.405,339.590,337.785,394.470
9.500,330.076,339.332,337.630,394.357
9.517,328.173,338.285,337.961,394.767
9.533,328.427,338.689,336.720,394.327
9.550,327.536,338.394,336.720,394.327
9.567,327.279,338.425,336.751,394.340
9.583,326.861,338.240,336.603,394.362
9.600,325.890,337.828,336.663,394.450
9.617,325.557,337.923,337.019,394.696
9.633,324.940,337.998,336.332,394.425
9.650,324.459,337.745,335.750,394.050
9.667,324.233,338.031,335.987,394.304
9.683,323.183,338.283,336.036,394.337
9.700,322.928,338.207,335.658,394.034
9.717,321.076,338.417,335.598,394.064
9.733,319.997,338.625,335.313,393.907
9.750,319.706,338.657,335.313,393.907
9.767,318.529,338.905,335.219,393.841
9.783,318.042,339.100,334.970,393.787
9.800,316.673,339.492,334.871,393.920
9.817,317.703,339.155,334.871,393.920
9.833,317.059,339.239,334.676,393.888
9.850,315.655,339.698,334.676,393.888
9.867,314.977,339.848,334.554,393.895
9.883,313.874,340.496,334.826,394.032
9.900,313.691,340.516,334.826,394.032
9.917,313.781,340.944,334.938,394.236
9.933,314.179,341.373,334.748,394.148
9.950,314.180,342.084,334.642,394.246
9.967,314.155,344.299,334.278,394.034
9.983,314.297,346.043,335.042,394.747
10.000,315.021,348.757,334.560,394.743
10.017,315.340,350.312,334.290,394.770
10.033,315.642,351.761,334.328,394.880
10.050,316.214,353.453,335.102,395.395
10.067,316.676,354.074,335.145,395.699
10.083,317.136,356.187,335.464,395.831
10.100,317.545,357.912,335.360,395.917
10.117,317.939,359.438,335.885,396.594
10.133,318.091,360.293,336.392,397.101
10.150,318.405,360.879,336.521,397.666
10.167,318.803,362.096,336.727,397.916
10.183,318.853,362.216,337.087,398.234
10.200,319.449,363.706,337.028,398.540
10.217,319.579,364.357,336.444,398.227
10.233,320.205,365.448,336.111,398.612
10.250,320.830,366.539,335.778,398.996
10.267,321.455,367.630,335.445,399.381
10.283,322.080,368.720,335.111,399.766
10.300,322.706,369.811,334.778,400.151
10.317,323.331,370.902,334.445,400.535
10.333,323.956,371.992,334.111,400.920
10.350,324.581,373.083,333.778,401.305
